INSPECTION_YEAR,NTA,NUMBER_OF_INSPECTIONS,BOROUGH
2022,South Richmond Hill,71,Queens
2022,South Williamsburg,138,Brooklyn
2022,Spring Creek-Starrett City,20,Brooklyn
2022,Springfield Gardens (North)-Rochdale Village,45,Queens
2022,Springfield Gardens (South)-Brookville,42,Queens
2022,St. Albans,249,Queens
2022,St. George-New Brighton,284,Staten Island
2022,Stuyvesant Town-Peter Cooper Village,18,Manhattan
2022,Sunnyside,733,Queens
2022,Sunnyside Yards (South),1,Queens
2022,Sunset Park (Central),309,Brooklyn
2022,Sunset Park (East)-Borough Park (West),185,Brooklyn
2022,Sunset Park (West),646,Brooklyn
2022,Throgs Neck-Schuylerville,170,Bronx
2022,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights,58,Staten Island
2022,Tompkinsville-Stapleton-Clifton-Fox Hills,165,Staten Island
2022,Tottenville-Charleston,39,Staten Island
2022,Tremont,2773,Bronx
2022,Tribeca-Civic Center,243,Manhattan
2022,United Nations,0,Manhattan
2022,University Heights (North)-Fordham,2355,Bronx
2022,University Heights (South)-Morris Heights,1748,Bronx
2022,Upper East Side-Carnegie Hill,822,Manhattan
2022,Upper East Side-Lenox Hill-Roosevelt Island,710,Manhattan
2022,Upper East Side-Yorkville,3410,Manhattan
2022,Upper West Side (Central),6148,Manhattan
2022,Upper West Side-Lincoln Square,1375,Manhattan
2022,Upper West Side-Manhattan Valley,2870,Manhattan
2022,Van Cortlandt Park,11,Bronx
2022,Wakefield-Woodlawn,2808,Bronx
2022,Washington Heights (North),2786,Manhattan
2022,Washington Heights (South),2871,Manhattan
2022,West Farms,278,Bronx
2022,West New Brighton-Silver Lake-Grymes Hill,216,Staten Island
2022,West Village,3447,Manhattan
2022,Westchester Square,54,Bronx
2022,Westerleigh-Castleton Corners,96,Staten Island
2022,Whitestone-Beechhurst,111,Queens
2022,Williamsbridge-Olinville,4953,Bronx
2022,Williamsburg,1161,Brooklyn
2022,Windsor Terrace-South Slope,167,Brooklyn
2022,Woodhaven,94,Queens
2022,Woodlawn Cemetery,0,Bronx
2022,Woodside,604,Queens
2022,Yankee Stadium-Macombs Dam Park,31,Bronx
2022,Freshkills Park (South),1,Staten Island
2022,Pelham Bay Park,0,Bronx
2022,Soundview Park,0,Bronx
2022,St. Michael's Cemetery,0,Queens
2022,Sunnyside Yards (North),2,Queens
2022,Astoria Park,1,Queens
2022,Brooklyn Navy Yard,2,Brooklyn
2022,Dyker Beach Park,3,Brooklyn
2022,Highland Park-Cypress Hills Cemeteries (South),3,Brooklyn
2022,Lincoln Terrace Park,2,Brooklyn
2022,Flushing Meadows-Corona Park,3,Queens
2022,Holy Cross Cemetery,2,Brooklyn
2022,Mount Olivet & All Faiths Cemeteries,1,Queens
2022,Calvary & Mount Zion Cemeteries,1,Queens
2022,Fort Hamilton,2,Brooklyn
2022,Highbridge Park,1,Manhattan
2022,The Evergreens Cemetery,2,Brooklyn
2022,Rockaway Community Park,1,Queens
2022,St. John Cemetery,0,Queens
2022,Alley Pond Park,0,Queens
2022,Green-Wood Cemetery,0,Brooklyn
2023,Allerton,777,Bronx
2023,Annadale-Huguenot-Prince's Bay-Woodrow,184,Staten Island
2023,Arden Heights-Rossville,66,Staten Island
2023,Astoria (Central),717,Queens
2023,Astoria (East)-Woodside (North),686,Queens
2023,Astoria (North)-Ditmars-Steinway,602,Queens
2023,Auburndale,124,Queens
2023,Baisley Park,173,Queens
2023,Barren Island-Floyd Bennett Field,0,Brooklyn
2023,Bath Beach,61,Brooklyn
2023,Bay Ridge,636,Brooklyn
2023,Bay Terrace-Clearview,27,Queens
2023,Bayside,94,Queens
2023,Bedford Park,2397,Bronx
2023,Bedford-Stuyvesant (East),8533,Brooklyn
2023,Bedford-Stuyvesant (West),16555,Brooklyn
2023,Bellerose,36,Queens
2023,Belmont,4506,Bronx
2023,Bensonhurst,207,Brooklyn
2023,Borough Park,225,Brooklyn
2023,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,80,Queens
2023,Brighton Beach,348,Brooklyn
2023,Bronx Park,2,Bronx
2023,Brooklyn Heights,832,Brooklyn
2023,Brownsville,307,Brooklyn
2023,Bushwick (East),5031,Brooklyn
2023,Bushwick (West),13032,Brooklyn
2023,Cambria Heights,48,Queens
2023,Canarsie,345,Brooklyn
2023,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,561,Brooklyn
2023,Castle Hill-Unionport,205,Bronx
2023,Central Park,7,Manhattan
2023,Chelsea-Hudson Yards,1200,Manhattan
2023,Chinatown-Two Bridges,2944,Manhattan
2023,Claremont Village-Claremont (East),456,Bronx
2023,Clinton Hill,344,Brooklyn
2023,Co-op City,18,Bronx
2023,College Point,77,Queens
2023,Concourse-Concourse Village,5673,Bronx
2023,Coney Island-Sea Gate,153,Brooklyn
2023,Corona,398,Queens
2023,Crotona Park East,447,Bronx
2023,Crown Heights (North),9091,Brooklyn
2023,Crown Heights (South),548,Brooklyn
2023,Cypress Hills,312,Brooklyn
2023,Douglaston-Little Neck,21,Queens
2023,Downtown Brooklyn-DUMBO-Boerum Hill,481,Brooklyn
2023,Dyker Heights,115,Brooklyn
2023,East Elmhurst,331,Queens
2023,East Flatbush-Erasmus,761,Brooklyn
2023,East Flatbush-Farragut,163,Brooklyn
2023,East Flatbush-Remsen Village,165,Brooklyn
2023,East Flatbush-Rugby,223,Brooklyn
2023,East Flushing,68,Queens
2023,East Harlem (North),6915,Manhattan
2023,East Harlem (South),4103,Manhattan
2023,East Midtown-Turtle Bay,455,Manhattan
2023,East New York (North),383,Brooklyn
2023,East New York-City Line,299,Brooklyn
2023,East New York-New Lots,313,Brooklyn
2023,East Village,7153,Manhattan
2023,East Williamsburg,958,Brooklyn
2023,Eastchester-Edenwald-Baychester,314,Bronx
2023,Elmhurst,821,Queens
2023,Far Rockaway-Bayswater,167,Queens
2023,Financial District-Battery Park City,298,Manhattan
2023,Flatbush,799,Brooklyn
2023,Flatbush (West)-Ditmas Park-Parkville,383,Brooklyn
2023,Flatlands,221,Brooklyn
2023,Flushing-Willets Point,616,Queens
2023,Fordham Heights,2265,Bronx
2023,Forest Hills,331,Queens
2023,Fort Greene,253,Brooklyn
2023,Fresh Meadows-Utopia,33,Queens
2023,Glen Oaks-Floral Park-New Hyde Park,22,Queens
2023,Glendale,290,Queens
2023,Gramercy,462,Manhattan
2023,Grasmere-Arrochar-South Beach-Dongan Hills,134,Staten Island
2023,Gravesend (East)-Homecrest,84,Brooklyn
2023,Gravesend (South),49,Brooklyn
2023,Gravesend (West),103,Brooklyn
2023,Great Kills-Eltingville,786,Staten Island
2023,Greenpoint,871,Brooklyn
2023,Greenwich Village,1615,Manhattan
2023,Hamilton Heights-Sugar Hill,5559,Manhattan
2023,Harlem (North),8261,Manhattan
2023,Harlem (South),6836,Manhattan
2023,Hell's Kitchen,2371,Manhattan
2023,Highbridge,2845,Bronx
2023,Hollis,65,Queens
2023,Howard Beach-Lindenwood,70,Queens
2023,Hunts Point,1553,Bronx
2023,Hutchinson Metro Center,69,Bronx
2023,Inwood,1119,Manhattan
2023,Inwood Hill Park,4,Manhattan
2023,Jackson Heights,1410,Queens
2023,Jacob Riis Park-Fort Tilden-Breezy Point Tip,0,Queens
2023,Jamaica,300,Queens
2023,Jamaica Estates-Holliswood,60,Queens
2023,Jamaica Hills-Briarwood,191,Queens
2023,Kensington,292,Brooklyn
2023,Kew Gardens,48,Queens
2023,Kew Gardens Hills,64,Queens
2023,Kingsbridge Heights-Van Cortlandt Village,764,Bronx
2023,Kingsbridge-Marble Hill,400,Bronx
2023,Laurelton,66,Queens
2023,Long Island City-Hunters Point,121,Queens
2023,Longwood,1237,Bronx
2023,Lower East Side,2666,Manhattan
2023,Madison,90,Brooklyn
2023,Manhattanville-West Harlem,1466,Manhattan
2023,Mapleton-Midwood (West),111,Brooklyn
2023,Marine Park-Mill Basin-Bergen Beach,82,Brooklyn
2023,Marine Park-Plumb Island,0,Brooklyn
2023,Mariner's Harbor-Arlington-Graniteville,141,Staten Island
2023,Maspeth,321,Queens
2023,Melrose,2738,Bronx
2023,Middle Village,152,Queens
2023,Midtown South-Flatiron-Union Square,287,Manhattan
2023,Midtown-Times Square,194,Manhattan
2023,Midwood,90,Brooklyn
2023,Morningside Heights,1537,Manhattan
2023,Morris Park,2874,Bronx
2023,Morrisania,623,Bronx
2023,Mott Haven-Port Morris,3517,Bronx
2023,Mount Eden-Claremont (West),3168,Bronx
2023,Mount Hope,4047,Bronx
2023,Murray Hill-Broadway Flushing,160,Queens
2023,Murray Hill-Kips Bay,383,Manhattan
2023,New Dorp-Midland Beach,99,Staten Island
2023,New Springville-Willowbrook-Bulls Head-Travis,84,Staten Island
2023,North Corona,651,Queens
2023,Norwood,2445,Bronx
2023,Oakland Gardens-Hollis Hills,30,Queens
2023,Oakwood-Richmondtown,44,Staten Island
2023,Ocean Hill,581,Brooklyn
2023,Old Astoria-Hallets Point,125,Queens
2023,Ozone Park,94,Queens
2023,Ozone Park (North),77,Queens
2023,Park Slope,475,Brooklyn
2023,Parkchester,57,Bronx
2023,Pelham Bay-Country Club-City Island,529,Bronx
2023,Pelham Gardens,3879,Bronx
2023,Pelham Parkway-Van Nest,1520,Bronx
2023,Pomonok-Electchester-Hillcrest,57,Queens
2023,Port Richmond,101,Staten Island
2023,Prospect Heights,1845,Brooklyn
2023,Prospect Lefferts Gardens-Wingate,507,Brooklyn
2023,Prospect Park,3,Brooklyn
2023,Queens Village,127,Queens
2023,Queensboro Hill,32,Queens
2023,Queensbridge-Ravenswood-Dutch Kills,258,Queens
2023,Randall's Island,14,Manhattan
2023,Rego Park,146,Queens
2023,Richmond Hill,124,Queens
2023,Ridgewood,2930,Queens
2023,Rikers Island,0,Bronx
2023,Riverdale-Spuyten Duyvil,130,Bronx
2023,Rockaway Beach-Arverne-Edgemere,64,Queens
2023,Rosebank-Shore Acres-Park Hill,98,Staten Island
2023,Rosedale,33,Queens
2023,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,255,Brooklyn
2023,SoHo-Little Italy-Hudson Square,2287,Manhattan
2023,Soundview-Bruckner-Bronx River,2837,Bronx
2023,Soundview-Clason Point,151,Bronx
2023,South Jamaica,178,Queens
2023,South Ozone Park,248,Queens
2023,South Richmond Hill,63,Queens
2023,South Williamsburg,139,Brooklyn
2023,Spring Creek-Starrett City,38,Brooklyn
2023,Springfield Gardens (North)-Rochdale Village,53,Queens
2023,Springfield Gardens (South)-Brookville,59,Queens
2023,St. Albans,191,Queens
2023,St. George-New Brighton,391,Staten Island
2023,Stuyvesant Town-Peter Cooper Village,6,Manhattan
2023,Sunnyside,841,Queens
2023,Sunnyside Yards (South),1,Queens
2023,Sunset Park (Central),381,Brooklyn
2023,Sunset Park (East)-Borough Park (West),397,Brooklyn
2023,Sunset Park (West),370,Brooklyn
2023,Throgs Neck-Schuylerville,144,Bronx
2023,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights,47,Staten Island
2023,Tompkinsville-Stapleton-Clifton-Fox Hills,303,Staten Island
2023,Tottenville-Charleston,40,Staten Island
2023,Tremont,2792,Bronx
2023,Tribeca-Civic Center,348,Manhattan
2023,United Nations,0,Manhattan
2023,University Heights (North)-Fordham,2845,Bronx
2023,University Heights (South)-Morris Heights,2705,Bronx
2023,Upper East Side-Carnegie Hill,1105,Manhattan
2023,Upper East Side-Lenox Hill-Roosevelt Island,1010,Manhattan
2023,Upper East Side-Yorkville,2464,Manhattan
2023,Upper West Side (Central),4895,Manhattan
2023,Upper West Side-Lincoln Square,1551,Manhattan
2023,Upper West Side-Manhattan Valley,2722,Manhattan
2023,Van Cortlandt Park,2,Bronx
2023,Wakefield-Woodlawn,1707,Bronx
2023,Washington Heights (North),1670,Manhattan
2023,Washington Heights (South),2185,Manhattan
2023,West Farms,233,Bronx
2023,West New Brighton-Silver Lake-Grymes Hill,183,Staten Island
2023,West Village,3186,Manhattan
2023,Westchester Square,90,Bronx
2023,Westerleigh-Castleton Corners,111,Staten Island
2023,Whitestone-Beechhurst,116,Queens
2023,Williamsbridge-Olinville,576,Bronx
2023,Williamsburg,849,Brooklyn
2023,Windsor Terrace-South Slope,145,Brooklyn
2023,Woodhaven,73,Queens
2023,Woodlawn Cemetery,0,Bronx
2023,Woodside,578,Queens
2023,Yankee Stadium-Macombs Dam Park,33,Bronx
2023,Freshkills Park (South),3,Staten Island
2023,Pelham Bay Park,0,Bronx
2023,Soundview Park,0,Bronx
2023,St. Michael's Cemetery,0,Queens
2023,Sunnyside Yards (North),2,Queens
2023,Astoria Park,2,Queens
2023,Brooklyn Navy Yard,1,Brooklyn
2023,Dyker Beach Park,1,Brooklyn
2023,Highland Park-Cypress Hills Cemeteries (South),2,Brooklyn
2023,Lincoln Terrace Park,3,Brooklyn
2023,Flushing Meadows-Corona Park,0,Queens
2023,Holy Cross Cemetery,0,Brooklyn
2023,Mount Olivet & All Faiths Cemeteries,0,Queens
2023,Calvary & Mount Zion Cemeteries,0,Queens
2023,Fort Hamilton,0,Brooklyn
2023,Highbridge Park,5,Manhattan
2023,The Evergreens Cemetery,0,Brooklyn
2023,Rockaway Community Park,0,Queens
2023,St. John Cemetery,1,Queens
2023,Alley Pond Park,0,Queens
2023,Green-Wood Cemetery,0,Brooklyn
2024,Allerton,538,Bronx
2024,Annadale-Huguenot-Prince's Bay-Woodrow,85,Staten Island
2024,Arden Heights-Rossville,66,Staten Island
2024,Astoria (Central),662,Queens
2024,Astoria (East)-Woodside (North),652,Queens
2024,Astoria (North)-Ditmars-Steinway,422,Queens
2024,Auburndale,135,Queens
2024,Baisley Park,112,Queens
2024,Barren Island-Floyd Bennett Field,0,Brooklyn
2024,Bath Beach,91,Brooklyn
2024,Bay Ridge,745,Brooklyn
2024,Bay Terrace-Clearview,29,Queens
2024,Bayside,59,Queens
2024,Bedford Park,2381,Bronx
2024,Bedford-Stuyvesant (East),16116,Brooklyn
2024,Bedford-Stuyvesant (West),19139,Brooklyn
2024,Bellerose,41,Queens
2024,Belmont,4364,Bronx
2024,Bensonhurst,291,Brooklyn
2024,Borough Park,171,Brooklyn
2024,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,96,Queens
2024,Brighton Beach,400,Brooklyn
2024,Bronx Park,3,Bronx
2024,Brooklyn Heights,592,Brooklyn
2024,Brownsville,307,Brooklyn
2024,Bushwick (East),9415,Brooklyn
2024,Bushwick (West),13071,Brooklyn
2024,Cambria Heights,41,Queens
2024,Canarsie,209,Brooklyn
2024,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,720,Brooklyn
2024,Castle Hill-Unionport,192,Bronx
2024,Central Park,6,Manhattan
2024,Chelsea-Hudson Yards,2788,Manhattan
2024,Chinatown-Two Bridges,2798,Manhattan
2024,Claremont Village-Claremont (East),343,Bronx
2024,Clinton Hill,565,Brooklyn
2024,Co-op City,5,Bronx
2024,College Point,47,Queens
2024,Concourse-Concourse Village,5007,Bronx
2024,Coney Island-Sea Gate,148,Brooklyn
2024,Corona,252,Queens
2024,Crotona Park East,431,Bronx
2024,Crown Heights (North),7879,Brooklyn
2024,Crown Heights (South),3790,Brooklyn
2024,Cypress Hills,239,Brooklyn
2024,Douglaston-Little Neck,37,Queens
2024,Downtown Brooklyn-DUMBO-Boerum Hill,554,Brooklyn
2024,Dyker Heights,170,Brooklyn
2024,East Elmhurst,191,Queens
2024,East Flatbush-Erasmus,567,Brooklyn
2024,East Flatbush-Farragut,151,Brooklyn
2024,East Flatbush-Remsen Village,253,Brooklyn
2024,East Flatbush-Rugby,318,Brooklyn
2024,East Flushing,52,Queens
2024,East Harlem (North),6131,Manhattan
2024,East Harlem (South),3463,Manhattan
2024,East Midtown-Turtle Bay,386,Manhattan
2024,East New York (North),328,Brooklyn
2024,East New York-City Line,251,Brooklyn
2024,East New York-New Lots,269,Brooklyn
2024,East Village,6646,Manhattan
2024,East Williamsburg,1650,Brooklyn
2024,Eastchester-Edenwald-Baychester,304,Bronx
2024,Elmhurst,600,Queens
2024,Far Rockaway-Bayswater,170,Queens
2024,Financial District-Battery Park City,113,Manhattan
2024,Flatbush,1124,Brooklyn
2024,Flatbush (West)-Ditmas Park-Parkville,508,Brooklyn
2024,Flatlands,226,Brooklyn
2024,Flushing-Willets Point,281,Queens
2024,Fordham Heights,2436,Bronx
2024,Forest Hills,387,Queens
2024,Fort Greene,395,Brooklyn
2024,Fresh Meadows-Utopia,19,Queens
2024,Glen Oaks-Floral Park-New Hyde Park,44,Queens
2024,Glendale,706,Queens
2024,Gramercy,350,Manhattan
2024,Grasmere-Arrochar-South Beach-Dongan Hills,107,Staten Island
2024,Gravesend (East)-Homecrest,162,Brooklyn
2024,Gravesend (South),82,Brooklyn
2024,Gravesend (West),208,Brooklyn
2024,Great Kills-Eltingville,226,Staten Island
2024,Greenpoint,1121,Brooklyn
2024,Greenwich Village,1604,Manhattan
2024,Hamilton Heights-Sugar Hill,4606,Manhattan
2024,Harlem (North),7492,Manhattan
2024,Harlem (South),6097,Manhattan
2024,Hell's Kitchen,2167,Manhattan
2024,Highbridge,2786,Bronx
2024,Hollis,78,Queens
2024,Howard Beach-Lindenwood,64,Queens
2024,Hunts Point,734,Bronx
2024,Hutchinson Metro Center,0,Bronx
2024,Inwood,1118,Manhattan
2024,Inwood Hill Park,6,Manhattan
2024,Jackson Heights,892,Queens
2024,Jacob Riis Park-Fort Tilden-Breezy Point Tip,0,Queens
2024,Jamaica,348,Queens
2024,Jamaica Estates-Holliswood,49,Queens
2024,Jamaica Hills-Briarwood,203,Queens
2024,Kensington,331,Brooklyn
2024,Kew Gardens,17,Queens
2024,Kew Gardens Hills,155,Queens
2024,Kingsbridge Heights-Van Cortlandt Village,796,Bronx
2024,Kingsbridge-Marble Hill,134,Bronx
2024,Laurelton,51,Queens
2024,Long Island City-Hunters Point,159,Queens
2024,Longwood,562,Bronx
2024,Lower East Side,2522,Manhattan
2024,Madison,114,Brooklyn
2024,Manhattanville-West Harlem,1317,Manhattan
2024,Mapleton-Midwood (West),105,Brooklyn
2024,Marine Park-Mill Basin-Bergen Beach,176,Brooklyn
2024,Marine Park-Plumb Island,0,Brooklyn
2024,Mariner's Harbor-Arlington-Graniteville,111,Staten Island
2024,Maspeth,323,Queens
2024,Melrose,826,Bronx
2024,Middle Village,156,Queens
2024,Midtown South-Flatiron-Union Square,107,Manhattan
2024,Midtown-Times Square,107,Manhattan
2024,Midwood,181,Brooklyn
2024,Morningside Heights,1281,Manhattan
2024,Morris Park,144,Bronx
2024,Morrisania,451,Bronx
2024,Mott Haven-Port Morris,561,Bronx
2024,Mount Eden-Claremont (West),3416,Bronx
2024,Mount Hope,3785,Bronx
2024,Murray Hill-Broadway Flushing,230,Queens
2024,Murray Hill-Kips Bay,255,Manhattan
2024,New Dorp-Midland Beach,106,Staten Island
2024,New Springville-Willowbrook-Bulls Head-Travis,90,Staten Island
2024,North Corona,373,Queens
2024,Norwood,2350,Bronx
2024,Oakland Gardens-Hollis Hills,13,Queens
2024,Oakwood-Richmondtown,49,Staten Island
2024,Ocean Hill,1012,Brooklyn
2024,Old Astoria-Hallets Point,145,Queens
2024,Ozone Park,97,Queens
2024,Ozone Park (North),101,Queens
2024,Park Slope,1010,Brooklyn
2024,Parkchester,98,Bronx
2024,Pelham Bay-Country Club-City Island,119,Bronx
2024,Pelham Gardens,64,Bronx
2024,Pelham Parkway-Van Nest,548,Bronx
2024,Pomonok-Electchester-Hillcrest,53,Queens
2024,Port Richmond,101,Staten Island
2024,Prospect Heights,1569,Brooklyn
2024,Prospect Lefferts Gardens-Wingate,544,Brooklyn
2024,Prospect Park,2,Brooklyn
2024,Queens Village,93,Queens
2024,Queensboro Hill,36,Queens
2024,Queensbridge-Ravenswood-Dutch Kills,232,Queens
2024,Randall's Island,15,Manhattan
2024,Rego Park,165,Queens
2024,Richmond Hill,96,Queens
2024,Ridgewood,4631,Queens
2024,Rikers Island,0,Bronx
2024,Riverdale-Spuyten Duyvil,134,Bronx
2024,Rockaway Beach-Arverne-Edgemere,78,Queens
2024,Rosebank-Shore Acres-Park Hill,72,Staten Island
2024,Rosedale,29,Queens
2024,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,340,Brooklyn
2024,SoHo-Little Italy-Hudson Square,2049,Manhattan
2024,Soundview-Bruckner-Bronx River,2504,Bronx
2024,Soundview-Clason Point,132,Bronx
2024,South Jamaica,190,Queens
2024,South Ozone Park,218,Queens
2024,South Richmond Hill,95,Queens
2024,South Williamsburg,267,Brooklyn
2024,Spring Creek-Starrett City,32,Brooklyn
2024,Springfield Gardens (North)-Rochdale Village,53,Queens
2024,Springfield Gardens (South)-Brookville,48,Queens
2024,St. Albans,175,Queens
2024,St. George-New Brighton,184,Staten Island
2024,Stuyvesant Town-Peter Cooper Village,8,Manhattan
2024,Sunnyside,716,Queens
2024,Sunnyside Yards (South),3,Queens
2024,Sunset Park (Central),452,Brooklyn
2024,Sunset Park (East)-Borough Park (West),150,Brooklyn
2024,Sunset Park (West),963,Brooklyn
2024,Throgs Neck-Schuylerville,113,Bronx
2024,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights,51,Staten Island
2024,Tompkinsville-Stapleton-Clifton-Fox Hills,112,Staten Island
2024,Tottenville-Charleston,33,Staten Island
2024,Tremont,2674,Bronx
2024,Tribeca-Civic Center,218,Manhattan
2024,United Nations,0,Manhattan
2024,University Heights (North)-Fordham,2629,Bronx
2024,University Heights (South)-Morris Heights,2846,Bronx
2024,Upper East Side-Carnegie Hill,787,Manhattan
2024,Upper East Side-Lenox Hill-Roosevelt Island,559,Manhattan
2024,Upper East Side-Yorkville,2234,Manhattan
2024,Upper West Side (Central),4167,Manhattan
2024,Upper West Side-Lincoln Square,1577,Manhattan
2024,Upper West Side-Manhattan Valley,1904,Manhattan
2024,Van Cortlandt Park,0,Bronx
2024,Wakefield-Woodlawn,267,Bronx
2024,Washington Heights (North),2152,Manhattan
2024,Washington Heights (South),2425,Manhattan
2024,West Farms,218,Bronx
2024,West New Brighton-Silver Lake-Grymes Hill,153,Staten Island
2024,West Village,2785,Manhattan
2024,Westchester Square,61,Bronx
2024,Westerleigh-Castleton Corners,111,Staten Island
2024,Whitestone-Beechhurst,70,Queens
2024,Williamsbridge-Olinville,331,Bronx
2024,Williamsburg,1025,Brooklyn
2024,Windsor Terrace-South Slope,277,Brooklyn
2024,Woodhaven,121,Queens
2024,Woodlawn Cemetery,1,Bronx
2024,Woodside,428,Queens
2024,Yankee Stadium-Macombs Dam Park,15,Bronx
2024,Freshkills Park (South),1,Staten Island
2024,Pelham Bay Park,0,Bronx
2024,Soundview Park,0,Bronx
2024,St. Michael's Cemetery,0,Queens
2024,Sunnyside Yards (North),12,Queens
2024,Astoria Park,0,Queens
2024,Brooklyn Navy Yard,0,Brooklyn
2024,Dyker Beach Park,1,Brooklyn
2024,Highland Park-Cypress Hills Cemeteries (South),1,Brooklyn
2024,Lincoln Terrace Park,0,Brooklyn
2024,Flushing Meadows-Corona Park,1,Queens
2024,Holy Cross Cemetery,2,Brooklyn
2024,Mount Olivet & All Faiths Cemeteries,0,Queens
2024,Calvary & Mount Zion Cemeteries,0,Queens
2024,Fort Hamilton,0,Brooklyn
2024,Highbridge Park,1,Manhattan
2024,The Evergreens Cemetery,2,Brooklyn
2024,Rockaway Community Park,0,Queens
2024,St. John Cemetery,0,Queens
2024,Alley Pond Park,1,Queens
2024,Green-Wood Cemetery,2,Brooklyn
2025,Allerton,139,Bronx
2025,Annadale-Huguenot-Prince's Bay-Woodrow,60,Staten Island
2025,Arden Heights-Rossville,55,Staten Island
2025,Astoria (Central),313,Queens
2025,Astoria (East)-Woodside (North),485,Queens
2025,Astoria (North)-Ditmars-Steinway,275,Queens
2025,Auburndale,55,Queens
2025,Baisley Park,102,Queens
2025,Barren Island-Floyd Bennett Field,0,Brooklyn
2025,Bath Beach,87,Brooklyn
2025,Bay Ridge,474,Brooklyn
2025,Bay Terrace-Clearview,11,Queens
2025,Bayside,29,Queens
2025,Bedford Park,960,Bronx
2025,Bedford-Stuyvesant (East),11514,Brooklyn
2025,Bedford-Stuyvesant (West),11755,Brooklyn
2025,Bellerose,41,Queens
2025,Belmont,2703,Bronx
2025,Bensonhurst,237,Brooklyn
2025,Borough Park,110,Brooklyn
2025,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,21,Queens
2025,Brighton Beach,236,Brooklyn
2025,Bronx Park,1,Bronx
2025,Brooklyn Heights,489,Brooklyn
2025,Brownsville,149,Brooklyn
2025,Bushwick (East),8047,Brooklyn
2025,Bushwick (West),8067,Brooklyn
2025,Cambria Heights,25,Queens
2025,Canarsie,132,Brooklyn
2025,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,684,Brooklyn
2025,Castle Hill-Unionport,91,Bronx
2025,Central Park,2,Manhattan
2025,Chelsea-Hudson Yards,1064,Manhattan
2025,Chinatown-Two Bridges,1802,Manhattan
2025,Claremont Village-Claremont (East),223,Bronx
2025,Clinton Hill,674,Brooklyn
2025,Co-op City,5,Bronx
2025,College Point,40,Queens
2025,Concourse-Concourse Village,3193,Bronx
2025,Coney Island-Sea Gate,116,Brooklyn
2025,Corona,205,Queens
2025,Crotona Park East,433,Bronx
2025,Crown Heights (North),5930,Brooklyn
2025,Crown Heights (South),3493,Brooklyn
2025,Cypress Hills,117,Brooklyn
2025,Douglaston-Little Neck,28,Queens
2025,Downtown Brooklyn-DUMBO-Boerum Hill,461,Brooklyn
2025,Dyker Heights,122,Brooklyn
2025,East Elmhurst,88,Queens
2025,East Flatbush-Erasmus,369,Brooklyn
2025,East Flatbush-Farragut,86,Brooklyn
2025,East Flatbush-Remsen Village,145,Brooklyn
2025,East Flatbush-Rugby,148,Brooklyn
2025,East Flushing,31,Queens
2025,East Harlem (North),4090,Manhattan
2025,East Harlem (South),1997,Manhattan
2025,East Midtown-Turtle Bay,1220,Manhattan
2025,East New York (North),183,Brooklyn
2025,East New York-City Line,138,Brooklyn
2025,East New York-New Lots,147,Brooklyn
2025,East Village,4761,Manhattan
2025,East Williamsburg,411,Brooklyn
2025,Eastchester-Edenwald-Baychester,143,Bronx
2025,Elmhurst,394,Queens
2025,Far Rockaway-Bayswater,89,Queens
2025,Financial District-Battery Park City,133,Manhattan
2025,Flatbush,969,Brooklyn
2025,Flatbush (West)-Ditmas Park-Parkville,452,Brooklyn
2025,Flatlands,136,Brooklyn
2025,Flushing-Willets Point,140,Queens
2025,Fordham Heights,1448,Bronx
2025,Forest Hills,334,Queens
2025,Fort Greene,256,Brooklyn
2025,Fresh Meadows-Utopia,16,Queens
2025,Glen Oaks-Floral Park-New Hyde Park,23,Queens
2025,Glendale,207,Queens
2025,Gramercy,961,Manhattan
2025,Grasmere-Arrochar-South Beach-Dongan Hills,72,Staten Island
2025,Gravesend (East)-Homecrest,119,Brooklyn
2025,Gravesend (South),58,Brooklyn
2025,Gravesend (West),116,Brooklyn
2025,Great Kills-Eltingville,146,Staten Island
2025,Greenpoint,1015,Brooklyn
2025,Greenwich Village,368,Manhattan
2025,Hamilton Heights-Sugar Hill,3144,Manhattan
2025,Harlem (North),4848,Manhattan
2025,Harlem (South),3780,Manhattan
2025,Hell's Kitchen,1153,Manhattan
2025,Highbridge,1547,Bronx
2025,Hollis,31,Queens
2025,Howard Beach-Lindenwood,56,Queens
2025,Hunts Point,1359,Bronx
2025,Hutchinson Metro Center,3,Bronx
2025,Inwood,634,Manhattan
2025,Inwood Hill Park,0,Manhattan
2025,Jackson Heights,547,Queens
2025,Jacob Riis Park-Fort Tilden-Breezy Point Tip,2,Queens
2025,Jamaica,292,Queens
2025,Jamaica Estates-Holliswood,30,Queens
2025,Jamaica Hills-Briarwood,149,Queens
